feature_name,section_original,section_mapped,term,canonical_term,display_term,term_type,ngram_len,pos_pattern,is_generic,role_prior,source_corpus,document_frequency,total_frequency,matched_surface_terms,search_terms,wiki_url,wikidata_id,notes
related_work__sentence embeddings,related work,related_work,sentence embeddings,Sentence Embedding,sentence embeddings,component,bigram,NN NN,false,core_method,both,3,13,sentence embedding; sentence embeddings,sentence embedding; sentence embeddings,nan,Q140197859,pos=fallback
related_work__graph neural networks,related work,related_work,graph neural networks,graph neural network,graph neural networks,model,trigram,NN JJ NN,false,core_method,round2_corpus,3,8,gnn; graph neural networks,gnn; graph neural network; graph neural networks,https://en.wikipedia.org/wiki/Graph_neural_network,Q107750691,pos=fallback
related_work__open-domain qa,related work,related_work,open-domain qa,open-domain question answering,open-domain qa,task,bigram,NN NN,false,task,both,3,8,open-domain qa; open-domain question answering,open-domain qa; open-domain question answering,nan,Q121409954,pos=fallback
related_work__meta-learning,related work,related_work,meta-learning,meta-learning,meta-learning,other,unigram,NN,false,background,both,3,6,meta-learning,meta-learning,https://en.wikipedia.org/wiki/Meta-learning_%28computer_science%29,Q6822311,pos=fallback
related_work__masked language modeling,related work,related_work,masked language modeling,masked language model,masked language modeling,model,trigram,JJ NN NN,false,core_method,both,3,4,masked language model; masked language modeling,masked language model; masked language modeling,nan,Q24868018,pos=fallback
related_work__sgd,related work,related_work,sgd,stochastic gradient descent,sgd,other,unigram,NN,false,background,both,3,4,sgd,sgd; stochastic gradient descent,https://en.wikipedia.org/wiki/Stochastic_gradient_descent,Q7617819,pos=fallback
related_work__GPT-2,related work,related_work,GPT-2,GPT-2,GPT-2,model,unigram,CD,false,core_method,both,3,3,gpt-2,gpt-2,https://en.wikipedia.org/wiki/GPT-2,Q95726727,pos=fallback
related_work__deep reinforcement learning,related work,related_work,deep reinforcement learning,deep reinforcement learning,deep reinforcement learning,other,trigram,JJ NN NN,false,background,both,3,3,deep reinforcement learning,deep reinforcement learning,https://en.wikipedia.org/wiki/Deep_reinforcement_learning,Q65079156,pos=fallback
related_work__multi-head attention,related work,related_work,multi-head attention,multi-head attention,multi-head attention,component,bigram,NN NN,false,core_method,initial_corpus,3,3,multi-head attention,multi-head attention,nan,Q108750000,pos=fallback
related_work__transfer learning,related work,related_work,transfer learning,transfer learning,transfer learning,method,bigram,NN NN,false,core_method,initial_corpus,3,3,transfer learning,transfer learning,https://en.wikipedia.org/wiki/Transfer_learning,Q6027324,pos=fallback
related_work__visual question answering,related work,related_work,visual question answering,visual question answering,visual question answering,task,trigram,JJ NN NN,false,task,both,3,3,visual question answering,visual question answering,nan,Q124169176,pos=fallback
related_work__multi-task learning,related work,related_work,multi-task learning,multi-task learning,multi-task learning,other,bigram,NN NN,false,background,both,2,8,mtl; multi-task learning; multitask learning,mtl; multi-task learning; multitask learning,https://en.wikipedia.org/wiki/Multi-task_learning,Q6934509,pos=fallback
related_work__seq2seq,related work,related_work,seq2seq,sequence-to-sequence learning,seq2seq,other,unigram,CD,false,background,both,2,7,seq2seq,seq2seq; sequence-to-sequence learning,https://en.wikipedia.org/wiki/Seq2seq,Q41589189,pos=fallback
related_work__rlhf,related work,related_work,rlhf,reinforcement learning from human feedback,rlhf,other,unigram,NN,false,background,initial_corpus,2,6,rlhf,reinforcement learning from human feedback; rlhf,https://en.wikipedia.org/wiki/Reinforcement_learning_from_human_feedback,Q115570683,pos=fallback
related_work__bart,related work,related_work,bart,BART,bart,model,unigram,NN,false,core_method,initial_corpus,2,5,bart,bart,nan,Q108212505,pos=fallback
related_work__smt,related work,related_work,smt,statistical machine translation,smt,task,unigram,NN,false,task,initial_corpus,2,5,smt; statistical machine translation,smt; statistical machine translation,https://en.wikipedia.org/wiki/Statistical_machine_translation,Q3245113,pos=fallback
related_work__xgboost,related work,related_work,xgboost,XGBoost,xgboost,other,unigram,NN,false,background,round2_corpus,2,5,xgboost,xgboost,https://en.wikipedia.org/wiki/XGBoost,Q23793561,pos=fallback
related_work__backpropagation,related work,related_work,backpropagation,backpropagation,backpropagation,method,unigram,NN,false,core_method,initial_corpus,2,4,back-propagation; backpropagation,back-propagation; backpropagation,https://en.wikipedia.org/wiki/Backpropagation,Q798503,pos=fallback
related_work__xlnet,related work,related_work,xlnet,XLNet,xlnet,model,unigram,NN,false,core_method,initial_corpus,2,4,xlnet,xlnet,nan,Q107031747,pos=fallback
related_work__neural machine translation,related work,related_work,neural machine translation,neural machine translation,neural machine translation,task,trigram,JJ NN NN,false,task,initial_corpus,2,3,neural machine translation; nmt,neural machine translation; nmt,https://en.wikipedia.org/wiki/Neural_machine_translation,Q25053937,pos=fallback
related_work__roberta,related work,related_work,roberta,RoBERTa,roberta,model,unigram,NN,false,core_method,initial_corpus,2,3,roberta,roberta,nan,Q85124095,pos=fallback
related_work__bloom,related work,related_work,bloom,BLOOM,bloom,other,unigram,NN,false,background,initial_corpus,2,2,bloom,bloom,https://en.wikipedia.org/wiki/BLOOM_%28language_model%29,Q113013356,pos=fallback
related_work__deep learning models,related work,related_work,deep learning models,deep learning model,deep learning models,other,trigram,JJ NN NN,false,background,initial_corpus,2,2,deep learning models,deep learning model; deep learning models,nan,Q113364611,pos=fallback
related_work__model compression,related work,related_work,model compression,model compression,model compression,other,bigram,NN NN,false,background,initial_corpus,2,2,model compression,model compression,https://en.wikipedia.org/wiki/Model_compression,Q131164003,pos=fallback
related_work__rlaif,related work,related_work,rlaif,reinforcement learning from AI feedback,rlaif,other,unigram,NN,false,background,initial_corpus,2,2,rlaif,reinforcement learning from ai feedback; rlaif,nan,Q135214674,pos=fallback
related_work__sentiment analysis,related work,related_work,sentiment analysis,sentiment analysis,sentiment analysis,task,bigram,NN NN,false,task,both,2,2,sentiment analysis,sentiment analysis,https://en.wikipedia.org/wiki/Sentiment_analysis,Q2271421,pos=fallback
related_work__unsupervised learning,related work,related_work,unsupervised learning,unsupervised learning,unsupervised learning,method,bigram,JJ NN,false,core_method,initial_corpus,2,2,unsupervised learning,unsupervised learning,https://en.wikipedia.org/wiki/Unsupervised_learning,Q1152135,pos=fallback
related_work__visual recognition,related work,related_work,visual recognition,optical character recognition,visual recognition,other,bigram,JJ NN,false,background,initial_corpus,2,2,visual recognition,optical character recognition; visual recognition,https://en.wikipedia.org/wiki/Optical_character_recognition,Q167555,pos=fallback
